loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,policy_code,loan_status,Partition
3000,3000, 36 months,10.99%,98.21,B,B3,walterreed commissary,7 years,RENT,36000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=804918,,vacation,vacation,200xx,DC,10.23,0,8/1/06,2,,,12,0,5093,34.4,17,f,1,0,H
3000,3000, 36 months,11.89%,99.5,B,B4,coastal healthcare,2 years,RENT,24996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=379049,"Hi,  I'm trying to get a loan to pay off a few credit cards & some medical bills.  I've  never missed a payment on any of them, but it's difficult to pay a bit here & there, I just feel like I'm not getting anywhere.  I've asked for the loan over 3 years, but I know it will be paid off before that!  I'm employed full time in Healthcare Locums Staffing, which is really booming right now.  Once my debt is paid off, I'd like to start nursing school myself, so this is a big step for me to getting on the right track!",debt_consolidation,Consolidate Debt & StartUp Business,295xx,SC,19.06,0,3/1/85,0,,,10,0,1952,26,11,f,1,1,H
15000,15000, 36 months,5.99%,456.27,A,A2,Raleigh-Durham Airport Authority,10+ years,MORTGAGE,40000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=815207,,car,classic car,275xx,NC,2.04,0,4/1/86,0,,,9,0,2614,6.8,19,f,1,0,H
6000,6000, 60 months,13.23%,137.23,C,C1,Gene Bruno,8 years,RENT,73000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=536367,"  Borrower added on 06/24/10 > I would like to consolidate small credit card debt and a personal loan. In addition to my salary at Gene Bruno, I get $300 a month from my husband and I coach club volleyball six months out of the year with a salary of approximately $4,000 annually; total income per year is about $73,000.<br/>",debt_consolidation,Debt Consolidation,913xx,CA,23.26,0,4/1/82,1,,,8,0,9148,88,30,f,1,0,H
35000,35000, 60 months,20.30%,933.14,E,E5,The Mayo Clinic,3 years,MORTGAGE,543000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=879246,"  Borrower added on 09/10/11 > I have a stable career and have been with my current employer for almost 4 years. I have never made a single late payment on any debt owed and plan to keep it that way.<br/><br/>My monthly incomes exceeds expenses significantly, supporting my ability to faithfully repay this loan.<br/> Borrower added on 09/11/11 > I have a stable career and have been with my current employer for almost 4 years. I have never made a single late payment on any debt owed and plan to keep it that way.  My monthly income far exceeds my debts, supporting my ability to faithfully repay this loan.<br/>null",home_improvement,Home Improvement,850xx,AZ,8.22,0,4/1/91,1,,,23,0,114285,52.2,63,f,1,0,H
5000,5000, 36 months,7.88%,156.41,A,A5,Littleton Joyce Ughetta Park & Kelly LLP,1 year,RENT,40000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=544040,"  Borrower added on 07/08/10 > My name is Yoon. Thank you for the loan. I will repay monthly before due date and if possible, pay off loan before the 36 month period.<br/> Borrower added on 07/08/10 > As this is my first personal loan, I consider it my first priority. Also, I plan to stay with my paralegal work for another two years before taking the law school admissions test. After minus rent and expenses, I will have $500-$550 which will be used for monthly payments to this loan. Thank you for the time and consideration.<br/>",major_purchase,First and Last Loan,100xx,NY,3.51,0,4/1/05,0,,,5,0,2198,16.9,9,f,1,1,H
8000,8000, 36 months,7.49%,248.82,A,A4,City of Los Angeles,9 years,RENT,35000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=763107,  Borrower added on 05/19/11 > Recent graduate with a Master's degree. Working at current job for 9 years. Money will be used to consolidate and eliminate debt.<br/> Borrower added on 05/19/11 > Recent graduate student with Master's Degree in Public Health. Worked at current job for 9 years. Loan will be used to consolidate and eliminate debt.<br/>,debt_consolidation,Debt Consolidation,903xx,CA,14.33,0,1/1/97,0,,,14,0,4293,65.8,26,f,1,0,H
10000,10000, 36 months,10.99%,327.34,B,B3,military sealift command,10+ years,MORTGAGE,150000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=841014,  Borrower added on 08/04/11 > installing a swimming pool in back yard. I am retired from Navy and now work for MSC servicing the US Navy Fleet. My job is very stable and I pay all my bills on time and in full<br/>,home_improvement,home improvement,891xx,NV,14.98,0,9/1/97,0,,,13,0,54833,68.1,30,f,1,1,H
10000,10000, 36 months,14.50%,344.21,E,E2,chris family restaurant,10+ years,MORTGAGE,36000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=313354,I would like to obtain cash for debt consolidation. I need to start getting my wedding plans in order and one payment each month would help me out alot. The lower interest and 36 month repayment plan will make it easier to become debt free sooner than keeping all my revolving accounts active. Thank You.,debt_consolidation,Getting Married,180xx,PA,6.13,0,8/1/70,1,71,,11,0,9060,78.1,23,f,1,0,H
3200,3200, 36 months,13.99%,109.36,C,C3,Washington State Department of Revenue,< 1 year,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=745900,,credit_card,Card Payoff,984xx,WA,14.4,0,5/1/07,2,,,11,0,2934,20.7,14,f,1,0,H
4800,4800, 36 months,16.00%,168.76,E,E2,oum elqura corp,10+ years,RENT,60000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=374725," i just need this loan to moove to another apt in a nother city ,thank u",home_improvement,for a new apt,072xx,NJ,13.8,0,3/1/99,6,46,50,12,1,9761,54.2,20,f,1,0,H
22000,22000, 60 months,15.65%,530.92,D,D4,Pacific Automotive Company,5 years,RENT,50000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=663164,,debt_consolidation,i would like to be debt free,941xx,CA,19.9,0,6/1/97,0,,,8,0,9282,69.3,21,f,1,1,H
16000,16000, 36 months,14.65%,551.91,C,C3,Zone Striping,7 years,MORTGAGE,70000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1052220,  Borrower added on 12/04/11 > Loan is to pay off debt only and with loan amount along with income tax return I will be able to eliminate approx $850 a month!!!!! In school loans and credit cards. <br>,debt_consolidation,Hopeful Loan,080xx,NJ,4.99,0,9/1/07,1,,,6,0,3290,43.3,6,f,1,1,H
35000,24425, 60 months,19.42%,639.26,E,E3,Comcast,< 1 year,MORTGAGE,120000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=884090,,debt_consolidation,Consolidation,841xx,UT,15.71,0,4/1/89,1,,,12,0,39402,89.3,31,f,1,0,H
5000,5000, 36 months,13.75%,170.29,E,E2,Williams Lea,3 years,RENT,20000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=126982,"I am a 23 year old female who have made some bad decision during my college years. I fell into the credit cards trap at 19 years old, that was when I got my first credit card. being so young and without guidance I used my credit card as an escape. my credit card were how I got manage to pay bills and eat. I currently owe 8 credit card companies and a student loan. I did not have a stable job to help me pay off my charges. now as an adult, I am struggling to pay off all my debts. I want to increase my credit score and reestablish my credit. I am currently employed. I have been with this company for the last three years. It is hard for me to keep up with all the payment. being that I also have to pay rent, gas, electric and other necessary bills. I really need the help. I don't know where else to go.",debt_consolidation,Drowning in debt,100xx,NY,0,1,4/1/04,1,17,0,1,0,0,0,1,f,1,0,H
1200,1200, 36 months,6.76%,36.93,A,A2,IBEW local 176 Eletrician,4 years,MORTGAGE,48000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=531279,,major_purchase,chopper loan,604xx,IL,17.45,0,8/1/03,1,,,12,0,1545,8.2,19,f,1,0,H
15000,15000, 60 months,17.49%,376.76,D,D5,Comcast ,3 years,MORTGAGE,105000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=763753,  Borrower added on 05/22/11 > I have sold my previous boat and will use those funds and this loan for this new boat. I am a very responsible both financially and personally.<br/>,major_purchase,Four Winns 268 Vista Boat,945xx,CA,14.17,1,9/1/98,2,11,,9,0,2896,45.2,27,f,1,1,H
30000,30000, 60 months,11.71%,662.95,B,B3,CAPITOL CARDIOLOGY ASSOCIATES,10+ years,MORTGAGE,120000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=980395,,home_improvement,PERSONAL LOAN,207xx,MD,11.8,0,12/1/89,1,,,14,0,14802,31,35,f,1,0,H
7200,7200, 36 months,9.63%,231.08,B,B1,Nordstrom,8 years,RENT,54996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=734256,  Borrower added on 04/19/11 > Need to move money around to free up more cash<br/> Borrower added on 04/19/11 > Money to may taxes and pay off credit card with high apr<br/>,debt_consolidation,Pay off,921xx,CA,14.36,0,11/1/02,0,,,9,0,967,9,17,f,1,0,H
9000,9000, 36 months,11.99%,298.89,B,B5,"2D LAR BN, USMC",7 years,RENT,39600,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=811646,,debt_consolidation,Debt Consolidation Loan,285xx,NC,19.03,0,1/1/93,1,58,,9,0,8939,59.6,27,f,1,0,H
12250,12250, 60 months,15.27%,293.17,C,C4,Oregon Department of Revenue,< 1 year,MORTGAGE,29323,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1052950,  Borrower added on 12/04/11 > This loans sole purpose is to consolidate credit card debt and create a faster payoff date with the lowered APR and lower combined monthly payment.<br>,debt_consolidation,Credit Card Consolidation,973xx,OR,13.34,0,8/1/80,2,,,9,0,13506,93.8,12,f,1,0,H
5600,5600, 36 months,9.63%,179.73,B,B1,Bank of New York Mellon,4 years,RENT,54000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=715516,  Borrower added on 03/29/11 > Refinancing higher rate loan and CC (14.7 &amp; 18%)<br/>,credit_card,Credit card refi,152xx,PA,6.84,3,4/1/97,0,23,,9,0,2776,33,21,f,1,0,H
15000,15000, 36 months,10.99%,491.01,B,B3,Hyde Tools,10+ years,RENT,28000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=765674,"  Borrower added on 05/23/11 > I want to pay my past credit cards off, so I can get out from under the credit card companies.<br/> Borrower added on 05/23/11 > I want to pay my past credit cards off, so I can get out from under the credit card companies.<br/> Borrower added on 05/24/11 > Some  of the credit cards I have are over 24%  they jumped them up after the rules changed for them.   They want the consumer to pay the differences in what they can't charge in fees anymore, so even with a decent credit score, they still jams us.<br/>",credit_card,Consolidate credit cards,062xx,CT,15.86,0,1/1/01,1,,110,10,1,1594,5,15,f,1,0,H
4500,4500, 36 months,10.99%,147.31,B,B3,Air Force,10+ years,RENT,66000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=853784,  Borrower added on 08/19/11 > payoff backed up house bills due to personal problems. want to get back on track without having it hurt my credit<br/>null,debt_consolidation,Blue Skies,731xx,OK,23.95,0,1/1/94,0,62,,6,0,11722,87.5,10,f,1,1,H
25000,25000, 60 months,11.99%,555.99,B,B5,Bank of America,4 years,MORTGAGE,60000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=772370,"  Borrower added on 06/02/11 > The loan is for consolidating two current debts.  This is the primary and only reason for the loan.  The two current debts carry high interest...and I want to consolidate them.<br/>null Borrower added on 06/06/11 > I am using the funds to combine my Bank of America credit card and my Wells Fargo Credit Card. We have recently done improvements on our house including flooring, etc, that we utilized these cards for. I am now consolidating them into one payment for more ease / consistency. I have never been late on a payment and my credit is excellent. I have the utmost awareness of financial responsibility. My employment is more secure than ever with the increasing workload.<br/>",debt_consolidation,Debt Consolidation,751xx,TX,17.98,0,4/1/94,1,,,11,0,21367,25.1,22,f,1,0,H
33500,33500, 60 months,17.14%,835.09,E,E3,EDISON CHOUEST OFFSHORE,10+ years,MORTGAGE,166361,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=712258,"  Borrower added on 03/25/11 > RETURNING CUSTOMER!!! AFTER COMPLETING MY 1ST LOAN WITHOUT HASSLE I DECIDED I HAD TO GET IT PAID OFF TO RETURN FOR CC REFINANCING. I ALWAYS PAY WHAT I OWE!!! PERIOD! <br/>REASON FOR LOAN IS i WOULD LIKE TO PAY OFF HIGH INT CARDS USED FOR UNEXPECTED EXSPENSE. MOSTLY MOVING COST &amp; MED. TREATMENT FOR MY 5YR SON.  NOT LOOKING FOR SYMPETHY, JUST LOOKING TO REDUCE MY MONTHLY EXSPENCE &amp; PAY OFF CARDS SO THANKS IN ADVANCE FOR CONSIDERING MY LOAN.<br/>",credit_card,HAPPY TO RETURN,703xx,LA,14.7,0,1/1/99,0,,,12,0,27874,61.3,37,f,1,0,H
15000,15000, 36 months,8.94%,476.58,A,A5,,< 1 year,MORTGAGE,110000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=69001,Taking advantage of excellent credit to pay off credit card,credit_card,Revolving Debt,146xx,NY,7.07,0,11/1/91,1,0,0,6,0,7586,52.7,19,f,1,0,H
4000,4000, 36 months,9.67%,128.45,B,B1,Aegir Systems,2 years,RENT,58000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=781998,,debt_consolidation,No more Credit cards,934xx,CA,18.12,1,11/1/96,1,18,,12,0,3026,40.9,18,f,1,0,H
6000,6000, 36 months,6.03%,182.62,A,A1,Ashford University,6 years,MORTGAGE,33000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=984507,,major_purchase,Cargo Van,843xx,UT,26.76,0,3/1/01,0,,,10,0,2217,0.03,23,f,1,0,H
14975,14975, 36 months,12.53%,501.16,B,B5,"Diamond Detective Agency, Inc.",2 years,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=452651,  558876 added on 10/17/09 > Entrepreneurial income as a Legal Assistant ($10k annual) is included with combined annual income.,debt_consolidation,Diligence,604xx,IL,16.08,0,11/1/99,1,,,7,0,6327,66.6,11,f,1,1,H
12000,12000, 36 months,16.77%,426.47,D,D2,Mercy San Juan Medical Center,10+ years,MORTGAGE,93000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061975,,credit_card,Card Refinance,956xx,CA,13.46,0,2/1/99,2,,,12,0,23691,92.5,21,f,1,0,H
4000,4000, 36 months,9.99%,129.05,B,B1,At&t,3 years,MORTGAGE,40000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=851180,"  Borrower added on 08/13/11 > Need funds to pay off credit cards, not late on them just got a little backed up and just need help paying them off. Very dedicated, dependable, hard worker.<br/>",debt_consolidation,Debt Consolidation for Credit Cards,480xx,MI,18.6,0,5/1/00,0,24,,10,0,10998,33.1,14,f,1,1,H
10000,10000, 60 months,18.25%,255.3,F,F1,T J MAX,4 years,RENT,36000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=662771,,small_business,RKP,185xx,PA,9,1,8/1/05,2,9,,4,0,587,32.6,8,f,1,0,H
10000,10000, 36 months,14.65%,344.95,C,C3,SYNERGY FLAVORS ,4 years,MORTGAGE,77000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1052327,,credit_card,DEBT CONSOLODATION,600xx,IL,7.36,0,4/1/00,3,,,22,0,10194,40.6,38,f,1,0,H
16000,16000, 36 months,12.87%,538.14,C,C1,El Camino Hospital,4 years,OWN,108000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=454804,  563550 added on 10/27/09 > I'm a labor and delivery nurse.  I have definite job security and I love what I do.  Once and for all I will pay off my credit card debt. 563550 added on 10/28/09 > I have a very good credit score and my once very low interest rates have hit an all time high.  Help please.,debt_consolidation,freedom 09,951xx,CA,22.31,0,3/1/94,1,,,21,0,110886,42.1,34,f,1,0,H
9000,9000, 36 months,9.88%,289.9,B,B1,Palo Verde Unified School District,1 year,RENT,41000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=513976,,credit_card,teacher,917xx,CA,20.99,0,11/1/98,0,59,,8,0,10102,28.1,14,f,1,0,H
12500,12500, 36 months,14.18%,428.32,E,E1,IRONWORKERS LOCAL UNION 79,10+ years,RENT,57000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=307544," I WOULD LIKE TO BORROW THIS MONEY TO SHOW A MAJOR BANKING INSTITUTE I AM WORTHY OF A BETTER RATE. I HAVE 4 ACCOUNTS WITH THIS COMPANY. I HAVE NEVER BEEN LATE ON ANY PAYMENTS. I USUALLY PAY ALOT MORE THAN MY MIN. PAYMENT. I HAVE HAD SOME ACCOUNTS FOR SEVERAL YEARS, THIS ONE THAT I WOULD LIKE TO BORROW MONEY FOR IS 15 MONTHS OLD. I HAVE CALLED THE COMPANY TWICE AND ASKED FOR A REDUCTION IN RATE AND BOTH TIMES HAVE BEEN TOLD NO BETTER RATE AVAILABLE. I AM CERTAIN I'M NOT BEING JUDGE PROPERLY.",credit_card,RATE REDUCTION LOAN,233xx,VA,24.55,0,10/1/00,0,,,12,0,34181,59.5,20,f,1,0,H
12000,12000, 36 months,7.90%,375.49,A,A4,Parker Palm Springs,< 1 year,MORTGAGE,65000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1048917,  Borrower added on 11/30/11 > I plan on using the funds to pay off my Citibank Credit Cards and consolidate my debt. I currently pay more than the minimum each month. I have never missed a mortgage payment or a car payment. My auto loan is paid in full. I am currently employed at a stable job in the hotel business. I have been in the hotel businees for over 25 years. I was at the Ritz Carlton Hotel for 20 years and Hotel Zoso for 5 years with no gaps in employment. I have been at the Parker Meridian for 6 months and plan on staying there.<br>,debt_consolidation,Debt Consolidation Loan,922xx,CA,4.8,0,10/1/83,0,59,,8,0,12063,71.1,33,f,1,0,H
9000,9000, 36 months,9.63%,288.85,A,A5,Wipro,4 years,OTHER,70000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=374295,I am living in my house for 18 months. I am planning to put more money so that i can avoid my Private Mortgage Insurance (which is a saving of 150$month).  Thanks for all your help,house,Increase my down payment,600xx,IL,8.45,0,8/1/95,2,,,8,0,7215,30.8,14,f,1,0,H
30000,30000, 36 months,5.99%,912.53,A,A2,Mitchell International,< 1 year,RENT,131000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=853971,  Borrower added on 08/16/11 > I am a great borrower because I've never missed a payment in my life. I also have a steady job with excellent growth potential.<br/>null,wedding,Wedding Expenses,906xx,CA,16.28,0,1/1/97,0,,,12,0,3027,5.6,43,f,1,0,H
14400,14400, 60 months,14.65%,339.94,C,C3,Seven Hills School,4 years,MORTGAGE,105000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1015002,"  Borrower added on 11/21/11 > I have two credit cards with a total of $13,750 debt.  I want to use this to pay them off.  Thank you for your consideration.<br>",debt_consolidation,Credit Consolidation,945xx,CA,10.75,0,6/1/88,7,49,,21,0,19435,25.1,44,f,1,0,H
9800,9800, 36 months,13.22%,331.25,C,C2,Kenexa,< 1 year,MORTGAGE,58800,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=462657, 578915 added on 11/28/09 > I plan to pay off all my credit cards. I have been with my company for 11 years.<br/> 578915 added on 11/29/09 > Please not I have been with Kenexa for 11 years not 1. I am a project manager. I am married and my wife currently works for the American Heart Assoc. She makes $42000 a year. I also have a 401K plan currently worth $26000. My car is paid for and have no car payment.<br/>,major_purchase,Consolidate,080xx,NJ,5.88,0,8/1/02,3,35,73,9,1,9972,35.9,21,f,1,0,H
4750,4750, 36 months,12.53%,158.97,B,B5,,1 year,OWN,12996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=452947, 559525 added on 10/19/09 > Personal loan to consolidate debt 559525 added on 10/20/09 > I need to consolidate debt from credit cards and medical bills from my stroke last year--lots of rehab and more rehab to come.,debt_consolidation,Personal Loan,600xx,IL,11.63,0,6/1/98,3,,,5,0,4996,38.4,7,f,1,0,H
5000,5000, 36 months,7.88%,156.41,A,A5,a.w.a.c.,2 years,RENT,50000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=522463,,credit_card,money,235xx,VA,6.02,0,4/1/98,1,27,,8,0,2805,25,26,f,1,0,H
9750,9750, 60 months,16.40%,239.18,E,E1,claires,10+ years,OWN,32400,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=702883,  Borrower added on 03/20/11 > I also wanted to state that I hv been on my job with claires boutique for 18 years .I am very trustworthy. This loan will be treated with the same respect like I have shown on my job for 18 years . It will be paid in full.<br/>,home_improvement,home improvement,462xx,IL,21.48,0,2/1/00,1,,,7,0,8618,74.9,13,f,1,0,H
35000,24400, 36 months,15.23%,848.59,C,C5,Whitechapel Gallery,4 years,RENT,65500,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=788158,"  Borrower added on 06/15/11 > I would like to consolidate my high-interest credit cards into one lower monthly payment, at a lower interest rate.  I have a fairly high credit-debt ratio, which means I'm unable to get traditional loans until I pay off more of my debt.  However, I have an impeccable payment history with all my creditors.<br/> Borrower added on 06/18/11 > More info which may be helpful when considering funding -<br/><br/>I have been paying off my debt steadily over the last few years (largely carried over from college days) and dedicate all extra funds I have at the end of each month to repaying my debts.<br/><br/>As I mentioned previously, I have never defaulted on any of my loans, and in fact have never been late with repayments.<br/><br/>I work for a mid-sized public sector organization, which means I have excellent job stability. I have had my current job for 4 years and 4 months, and was at my previous job for just under 6 years.<br/><br/>Thanks so much for your consideration.<br/>",credit_card,Refinancing my US credit card debt,919xx,CA,17.15,0,5/1/98,1,,,8,0,35430,84.6,18,f,1,0,H
4000,4000, 36 months,6.62%,122.82,A,A2,Perdue Farms Inc.,10+ years,MORTGAGE,90000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=978379,"  Borrower added on 10/06/11 > I have 20+ years with the same company, excellent credit history, never a late or delinquent payment.  Will be paying off a small 401K loan and doing some winterizing to our home.<br/>",other,Repay 401K loan,173xx,PA,24.33,0,9/1/92,0,,,13,0,43108,69.4,33,f,1,0,H
20000,20000, 36 months,12.69%,670.9,B,B5,LAUSD,8 years,RENT,75000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1038455,  Borrower added on 11/24/11 > I am willing and able to make $1000 monthly payments through direct deposit.<br>,debt_consolidation,Conso Loan,900xx,CA,11.18,0,4/1/98,0,80,,7,0,9280,58.4,21,f,1,0,H
4000,4000, 36 months,5.99%,121.67,A,A2,federal reserve bank of san francisco,10+ years,MORTGAGE,68000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=811171,"  Borrower added on 07/10/11 > This is my second loan,earlier loan was paid in full without any late payments.<br/>",home_improvement,HOME REPAIRS,913xx,CA,19.41,0,9/1/90,1,,,9,0,11033,30.1,22,f,1,0,H
4275,4275, 36 months,15.99%,150.28,D,D2,"Global Textiles Alliance,Inc",7 years,MORTGAGE,54500,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=802201,,home_improvement,Home improvement,273xx,NC,7.49,0,6/1/05,0,,,2,0,0,,9,f,1,0,H
22750,20800, 60 months,15.21%,497.13,D,D2,AM Skier Agency,9 years,RENT,43000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=594768,  Borrower added on 10/11/10 > My employment is at an insurance agency in which I have been employed at for 9 years. My employment is very stable. I am applying for this loan to consolidate debt into one monthly payment. My long term goal with this loan is to be debt free in 5 years. The reason I am a good candidate is because I am never late on making my payments and I have had a loan from Lending Club before which was paid in full.<br/> Borrower added on 10/12/10 > I also wanted to add that I have part time employment on the weekends. I have been at my part time job for approx 5 years.<br/>,debt_consolidation,Debt Consolidation,127xx,NY,16.19,0,11/1/98,2,,,5,0,27443,85.8,27,f,1,0,H
19600,19600, 36 months,17.19%,700.65,D,D2,"Kno, Inc.",< 1 year,RENT,110000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=782041,,debt_consolidation,Debt Consolidation Loan,950xx,CA,10.29,1,1/1/97,0,16,,7,0,34538,78.9,12,f,1,0,H
5400,5400, 36 months,15.23%,187.81,C,C5,caliber collision center,2 years,RENT,18000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=787083,,debt_consolidation,debt,925xx,CA,15.47,0,2/1/08,1,,,5,0,735,25.3,6,f,1,0,H
12000,12000, 60 months,10.74%,259.36,B,B4,Hearst Magazines,10+ years,MORTGAGE,85000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=711318,,debt_consolidation,Mark,076xx,NJ,14.33,1,4/1/97,0,19,,11,0,16755,37.9,25,f,1,0,H
6000,6000, 36 months,11.89%,198.99,B,B4,,1 year,RENT,70000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=391046,"My sister is getting married in May.  She has to pay for her whole wedding herself as our parents arenäó»t able to contribute anything.  I would like to be able to help her with the wedding as Iäó»m the only family left she can count on.   Source of payment for the loan: After tax monthly salary: $3,805 -Rent $1592 -Household Expenses $180 =$2,033 a month for living expenses and debt payment  Other source of payment is $25,000 settlement scheduled for payment in FY2009.  Thank you for all of your help! And thank you for helping my sister make her wedding dreams come true.",other,Waiting for lump sum,100xx,NY,7.23,0,2/1/03,0,,,6,0,4965,53.4,9,f,1,0,H
6000,6000, 60 months,10.38%,128.61,B,B1,S T L Architects,3 years,RENT,50000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=532050,"  Borrower added on 06/16/10 > This loan is to pay for my partner's education and our living expenses while she pursues her nursing education.  I am employed full time in a secure position and have been with the same company for three years. My partner also works part-time to supplement our income.  My credit history indicates that I am a worthy borrower, and we maintain a realistic household budget which includes the repayment of this loan.<br/>",other,Personal Loan for Education,606xx,IL,12.05,0,1/1/91,1,59,,13,0,2006,5.4,26,f,1,0,H
5000,5000, 36 months,14.17%,171.31,C,C5,beaver oil co. inc,3 years,RENT,43200,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=716662,,other,bill payment and auto,604xx,IL,7.33,0,3/1/02,3,,,7,0,6217,49.7,7,f,1,0,H
5500,5500, 36 months,15.23%,191.28,C,C5,Rudy's Barber Shops,1 year,RENT,19200,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=876406,  Borrower added on 09/07/11 > i'd like to pay off three separate small credit cards that have high aprs. i always pay more than the minimum but i'm not seeing the balances come down as quick as i'd like.<br/>null,debt_consolidation,Pay of high apr credit cards,981xx,WA,19.25,0,3/1/00,1,50,,3,0,5141,93.5,12,f,1,0,H
4000,4000, 36 months,11.48%,131.88,B,B2,"International Logistics Systems, Inc",1 year,MORTGAGE,40000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=447941,"Excellent credit Only debt is house mortgage Paid for college out of pocket Car paid off Closer on bill than would preffer Veteran National Guard Income $8,000 first time home buyer tax credit",other,Bill Cushion,174xx,PA,0,0,10/1/96,1,,,2,0,0,0,4,f,1,0,H
